cluster	gene	probability
1	ENSDARG00000021938	0.7997
1	ENSDARG00000022437	0.6849
1	ENSDARG00000022525	0.6009
1	ENSDARG00000022763	0.7481
1	ENSDARG00000022951	0.7994
1	ENSDARG00000023111	0.1638
1	ENSDARG00000023181	0.7864
1	ENSDARG00000023546	0.8075
1	ENSDARG00000023694	0.7229
1	ENSDARG00000024588	0.4862
1	ENSDARG00000024789	0.7849
1	ENSDARG00000024831	0.7997
1	ENSDARG00000025012	0.7808
1	ENSDARG00000025302	0.7649
1	ENSDARG00000025513	0.4531
1	ENSDARG00000026090	0.8154
1	ENSDARG00000026098	0.4609
1	ENSDARG00000026281	0.6000
1	ENSDARG00000026513	0.2732
1	ENSDARG00000026787	0.8127
1	ENSDARG00000026979	0.7880
1	ENSDARG00000027082	0.7850
1	ENSDARG00000027154	0.8067
1	ENSDARG00000027428	0.8147
1	ENSDARG00000027495	0.6192
1	ENSDARG00000027797	0.7184
1	ENSDARG00000028048	0.7748
1	ENSDARG00000028087	0.2072
1	ENSDARG00000028098	0.7875
1	ENSDARG00000028131	0.8005
1	ENSDARG00000028793	0.8007
1	ENSDARG00000029124	0.4853
1	ENSDARG00000029432	0.7843
1	ENSDARG00000029457	0.1611
1	ENSDARG00000029668	0.6282
1	ENSDARG00000029729	0.3268
1	ENSDARG00000029952	0.1403
1	ENSDARG00000030163	0.7188
1	ENSDARG00000030340	0.5254
1	ENSDARG00000030441	0.7426
1	ENSDARG00000030514	0.2918
1	ENSDARG00000030547	0.6614
1	ENSDARG00000030598	0.7916
1	ENSDARG00000030949	0.5208
1	ENSDARG00000031588	0.8104
1	ENSDARG00000032319	0.1330
1	ENSDARG00000032369	0.6389
1	ENSDARG00000032389	0.4698
1	ENSDARG00000032623	0.3963
1	ENSDARG00000032765	0.5097
1	ENSDARG00000032816	0.7120
1	ENSDARG00000033516	0.7552
1	ENSDARG00000033802	0.6250
1	ENSDARG00000033901	0.7611
1	ENSDARG00000034300	0.7569
1	ENSDARG00000034568	0.7884
1	ENSDARG00000034685	0.5224
1	ENSDARG00000034705	0.5950
1	ENSDARG00000034718	0.3529
1	ENSDARG00000035152	0.7939
1	ENSDARG00000035350	0.5017
1	ENSDARG00000035357	0.7648
1	ENSDARG00000035549	0.8030
1	ENSDARG00000035578	0.4203
1	ENSDARG00000035985	0.5559
1	ENSDARG00000036051	0.0476
1	ENSDARG00000036058	0.7667
1	ENSDARG00000036116	0.2727
1	ENSDARG00000036412	0.7831
1	ENSDARG00000036542	0.5041
1	ENSDARG00000036577	0.8005
1	ENSDARG00000036820	0.4504
1	ENSDARG00000037042	0.7319
1	ENSDARG00000037062	0.5797
1	ENSDARG00000037122	0.1343
1	ENSDARG00000037142	0.8019
1	ENSDARG00000037320	0.7607
1	ENSDARG00000037476	0.5071
1	ENSDARG00000037539	0.7842
1	ENSDARG00000037598	0.4502
1	ENSDARG00000037747	0.4923
1	ENSDARG00000037835	0.4260
1	ENSDARG00000037859	0.4784
1	ENSDARG00000037874	0.7812
1	ENSDARG00000037909	0.1653
1	ENSDARG00000037954	0.7147
1	ENSDARG00000038154	0.1299
1	ENSDARG00000038583	0.7649
1	ENSDARG00000038587	0.7835
1	ENSDARG00000038686	0.7935
1	ENSDARG00000038918	0.7945
1	ENSDARG00000038969	0.7382
1	ENSDARG00000039008	0.3450
1	ENSDARG00000039099	0.8044
1	ENSDARG00000039123	0.0646
1	ENSDARG00000039435	0.2760
1	ENSDARG00000039482	0.7395
1	ENSDARG00000039497	0.7974
1	ENSDARG00000039516	0.4625
1	ENSDARG00000039752	0.3628
1	ENSDARG00000039914	0.7821
1	ENSDARG00000040186	0.3997
1	ENSDARG00000040432	0.7942
1	ENSDARG00000040482	0.7664
1	ENSDARG00000040633	0.6982
1	ENSDARG00000040700	0.7052
1	ENSDARG00000040705	0.7994
1	ENSDARG00000040727	0.4645
1	ENSDARG00000040907	0.8060
1	ENSDARG00000040985	0.7955
1	ENSDARG00000041065	0.3972
1	ENSDARG00000041304	0.7999
1	ENSDARG00000041407	0.8005
1	ENSDARG00000041414	0.7770
1	ENSDARG00000041449	0.3178
1	ENSDARG00000041609	0.8154
1	ENSDARG00000041665	0.3733
1	ENSDARG00000041691	0.2268
1	ENSDARG00000041747	0.5623
1	ENSDARG00000041896	0.5381
1	ENSDARG00000042091	0.7889
1	ENSDARG00000042122	0.7952
1	ENSDARG00000042151	0.6057
1	ENSDARG00000042189	0.7335
1	ENSDARG00000042214	0.7459
1	ENSDARG00000042383	0.8002
1	ENSDARG00000042387	0.2135
1	ENSDARG00000042677	0.1833
1	ENSDARG00000042759	0.6541
1	ENSDARG00000042902	0.2194
1	ENSDARG00000042929	0.5180
1	ENSDARG00000043074	0.5649
1	ENSDARG00000043093	0.7315
1	ENSDARG00000043226	0.4044
1	ENSDARG00000043250	0.7645
1	ENSDARG00000043257	0.6525
1	ENSDARG00000043436	0.7590
1	ENSDARG00000043446	0.7706
1	ENSDARG00000043553	0.4091
1	ENSDARG00000043684	0.5913
1	ENSDARG00000043932	0.7267
1	ENSDARG00000044010	0.7629
1	ENSDARG00000044365	0.7441
1	ENSDARG00000044514	0.6528
1	ENSDARG00000044550	0.8044
1	ENSDARG00000044551	0.6152
1	ENSDARG00000044827	0.7914
1	ENSDARG00000045015	0.8018
1	ENSDARG00000045092	0.1213
1	ENSDARG00000045131	0.7825
1	ENSDARG00000045141	0.8039
1	ENSDARG00000045219	0.7136
1	ENSDARG00000045230	0.2214
1	ENSDARG00000045265	0.7617
1	ENSDARG00000045301	0.0672
1	ENSDARG00000045463	0.7781
1	ENSDARG00000045524	0.8096
1	ENSDARG00000045568	0.7683
1	ENSDARG00000045611	0.5755
1	ENSDARG00000045708	0.6303
1	ENSDARG00000045803	0.6409
1	ENSDARG00000045886	0.7992
1	ENSDARG00000045926	0.6364
1	ENSDARG00000046140	0.5675
1	ENSDARG00000051749	0.7897
1	ENSDARG00000051876	0.4168
1	ENSDARG00000051975	0.5999
1	ENSDARG00000052097	0.7435
1	ENSDARG00000052118	0.1814
1	ENSDARG00000052331	0.7158
1	ENSDARG00000052450	0.6118
1	ENSDARG00000052462	0.7625
1	ENSDARG00000052497	0.5150
1	ENSDARG00000052644	0.4724
1	ENSDARG00000052701	0.7771
1	ENSDARG00000052775	0.8000
1	ENSDARG00000052842	0.1761
1	ENSDARG00000052917	0.4082
1	ENSDARG00000052948	0.7739
1	ENSDARG00000052994	0.4663
1	ENSDARG00000053345	0.7776
1	ENSDARG00000053528	0.7452
1	ENSDARG00000053535	0.7413
