cluster	gene	probability
3	ENSDARG00000102056	0.8554
3	ENSDARG00000102097	0.8259
3	ENSDARG00000102153	0.8579
3	ENSDARG00000102200	0.8152
3	ENSDARG00000102249	0.7724
3	ENSDARG00000102257	0.5591
3	ENSDARG00000102279	0.8523
3	ENSDARG00000102366	0.8546
3	ENSDARG00000102379	0.4968
3	ENSDARG00000102387	0.6623
3	ENSDARG00000102395	0.8062
3	ENSDARG00000102464	0.8571
3	ENSDARG00000102559	0.8561
3	ENSDARG00000102640	0.8428
3	ENSDARG00000102701	0.8466
3	ENSDARG00000102706	0.8498
3	ENSDARG00000102766	0.5674
3	ENSDARG00000102795	0.8524
3	ENSDARG00000102808	0.8518
3	ENSDARG00000102877	0.7721
3	ENSDARG00000102885	0.6298
3	ENSDARG00000102960	0.3221
3	ENSDARG00000103020	0.6402
3	ENSDARG00000103042	0.8262
3	ENSDARG00000103056	0.7921
3	ENSDARG00000103156	0.8463
3	ENSDARG00000103271	0.2094
3	ENSDARG00000103311	0.8126
3	ENSDARG00000103403	0.5553
3	ENSDARG00000103533	0.8522
3	ENSDARG00000103643	0.7352
3	ENSDARG00000103676	0.8510
3	ENSDARG00000103718	0.7848
3	ENSDARG00000103811	0.8457
3	ENSDARG00000103830	0.8497
3	ENSDARG00000103846	0.1919
3	ENSDARG00000103915	0.8525
3	ENSDARG00000103979	0.8512
3	ENSDARG00000103991	0.6449
3	ENSDARG00000104005	0.5112
3	ENSDARG00000104015	0.8558
3	ENSDARG00000104022	0.3283
3	ENSDARG00000104082	0.8439
3	ENSDARG00000104128	0.7982
3	ENSDARG00000104230	0.8478
3	ENSDARG00000104256	0.8428
3	ENSDARG00000104274	0.5646
3	ENSDARG00000104306	0.7750
3	ENSDARG00000104367	0.8538
3	ENSDARG00000104404	0.8256
3	ENSDARG00000104484	0.8531
3	ENSDARG00000104571	0.8400
3	ENSDARG00000104587	0.7223
3	ENSDARG00000104593	0.7707
3	ENSDARG00000104710	0.7431
3	ENSDARG00000104752	0.6716
3	ENSDARG00000104760	0.6740
3	ENSDARG00000104874	0.7917
3	ENSDARG00000105009	0.7930
3	ENSDARG00000105040	0.7299
3	ENSDARG00000105097	0.7969
3	ENSDARG00000105131	0.8019
3	ENSDARG00000105185	0.8414
3	ENSDARG00000105237	0.4781
3	ENSDARG00000105239	0.8533
3	ENSDARG00000105243	0.1718
3	ENSDARG00000105271	0.8252
3	ENSDARG00000105544	0.7462
3	ENSDARG00000105748	0.8330
3	ENSDARG00000106669	0.8461
3	ENSDARG00000107819	0.6310
3	ENSDARG00000109279	0.8113
3	ENSDARG00000109300	0.7963
3	ENSDARG00000109314	0.7758
3	ENSDARG00000109334	0.5701
3	ENSDARG00000109378	0.4932
3	ENSDARG00000109465	0.8512
3	ENSDARG00000109489	0.8185
3	ENSDARG00000109577	0.6649
3	ENSDARG00000109612	0.8528
3	ENSDARG00000109629	0.8572
3	ENSDARG00000109696	0.8586
3	ENSDARG00000109779	0.8353
3	ENSDARG00000109785	0.8545
3	ENSDARG00000109877	0.8513
3	ENSDARG00000109893	0.8030
3	ENSDARG00000109929	0.8547
3	ENSDARG00000109936	0.8481
3	ENSDARG00000109945	0.8531
3	ENSDARG00000109970	0.8284
3	ENSDARG00000109984	0.7562
3	ENSDARG00000110041	0.8186
3	ENSDARG00000110056	0.8421
3	ENSDARG00000110132	0.6355
3	ENSDARG00000110157	0.8424
3	ENSDARG00000110238	0.7037
3	ENSDARG00000110248	0.8333
3	ENSDARG00000110336	0.7904
3	ENSDARG00000110402	0.8318
3	ENSDARG00000110452	0.4923
3	ENSDARG00000110459	0.8164
3	ENSDARG00000110488	0.8397
3	ENSDARG00000110489	0.7536
3	ENSDARG00000110502	0.8304
3	ENSDARG00000110567	0.8237
3	ENSDARG00000110623	0.4240
3	ENSDARG00000110672	0.8511
3	ENSDARG00000110690	0.8398
3	ENSDARG00000110831	0.8504
3	ENSDARG00000110931	0.7769
3	ENSDARG00000110953	0.4726
3	ENSDARG00000110975	0.8551
3	ENSDARG00000111021	0.5383
3	ENSDARG00000111074	0.8278
3	ENSDARG00000111103	0.5817
3	ENSDARG00000111133	0.8518
3	ENSDARG00000111152	0.8360
3	ENSDARG00000111196	0.5439
3	ENSDARG00000111250	0.8274
3	ENSDARG00000111270	0.8500
3	ENSDARG00000111287	0.8532
3	ENSDARG00000111288	0.5282
3	ENSDARG00000111300	0.7303
3	ENSDARG00000111310	0.1589
3	ENSDARG00000111313	0.7628
3	ENSDARG00000111458	0.8465
3	ENSDARG00000111488	0.8418
3	ENSDARG00000111490	0.8560
3	ENSDARG00000111525	0.8363
3	ENSDARG00000111535	0.6853
3	ENSDARG00000111570	0.8457
3	ENSDARG00000111657	0.7707
3	ENSDARG00000111733	0.8379
3	ENSDARG00000111748	0.8519
3	ENSDARG00000111770	0.8520
3	ENSDARG00000111819	0.8365
3	ENSDARG00000111873	0.8525
3	ENSDARG00000111906	0.2184
3	ENSDARG00000112102	0.8520
3	ENSDARG00000112139	0.8549
3	ENSDARG00000112218	0.8440
3	ENSDARG00000112255	0.8485
3	ENSDARG00000112316	0.8486
3	ENSDARG00000112371	0.8320
3	ENSDARG00000112372	0.8461
3	ENSDARG00000112584	0.8518
3	ENSDARG00000112644	0.8483
3	ENSDARG00000112646	0.6521
3	ENSDARG00000112650	0.8329
3	ENSDARG00000112656	0.8048
3	ENSDARG00000112715	0.8500
3	ENSDARG00000112777	0.8503
3	ENSDARG00000112781	0.7489
3	ENSDARG00000112819	0.8543
3	ENSDARG00000112872	0.8492
3	ENSDARG00000112963	0.4884
3	ENSDARG00000113102	0.8562
3	ENSDARG00000113143	0.8174
3	ENSDARG00000113191	0.8410
3	ENSDARG00000113406	0.8127
3	ENSDARG00000113487	0.8173
3	ENSDARG00000113589	0.7552
3	ENSDARG00000113590	0.8533
3	ENSDARG00000113639	0.8502
3	ENSDARG00000113649	0.8312
3	ENSDARG00000113697	0.8031
3	ENSDARG00000113801	0.8385
3	ENSDARG00000113899	0.8523
3	ENSDARG00000113910	0.8355
3	ENSDARG00000114020	0.8436
3	ENSDARG00000114022	0.8561
3	ENSDARG00000114086	0.7659
3	ENSDARG00000114106	0.8285
3	ENSDARG00000114192	0.8489
3	ENSDARG00000114325	0.3549
3	ENSDARG00000114410	0.4952
3	ENSDARG00000114531	0.7972
3	ENSDARG00000114549	0.8273
3	ENSDARG00000114618	0.7617
3	ENSDARG00000114621	0.6417
3	ENSDARG00000114674	0.6847
3	ENSDARG00000114754	0.8195
3	ENSDARG00000114790	0.7997
3	ENSDARG00000114902	0.4618
3	ENSDARG00000114917	0.6927
3	ENSDARG00000115030	0.8480
3	ENSDARG00000115057	0.8000
3	ENSDARG00000115073	0.8150
3	ENSDARG00000115083	0.8454
3	ENSDARG00000115086	0.8206
3	ENSDARG00000115090	0.5912
3	ENSDARG00000115159	0.6698
3	ENSDARG00000115219	0.8483
3	ENSDARG00000115360	0.8327
3	ENSDARG00000115363	0.6096
3	ENSDARG00000115383	0.8289
3	ENSDARG00000115387	0.8363
3	ENSDARG00000115399	0.8481
3	ENSDARG00000115417	0.8374
3	ENSDARG00000115440	0.8561
3	ENSDARG00000115474	0.8200
3	ENSDARG00000115491	0.8554
3	ENSDARG00000115496	0.8445
3	ENSDARG00000115520	0.8373
3	ENSDARG00000115534	0.8479
3	ENSDARG00000115786	0.7779
3	ENSDARG00000115861	0.8381
3	ENSDARG00000116045	0.2766
3	ENSDARG00000116058	0.8456
3	ENSDARG00000116093	0.8526
3	ENSDARG00000116107	0.8390
3	ENSDARG00000116212	0.8399
3	ENSDARG00000116303	0.8480
3	ENSDARG00000116408	0.8284
3	ENSDARG00000116410	0.4961
3	ENSDARG00000116450	0.8542
3	ENSDARG00000116453	0.8309
3	ENSDARG00000116473	0.7744
3	ENSDARG00000116641	0.7423
3	ENSDARG00000116648	0.7871
3	ENSDARG00000116682	0.8273
3	ENSDARG00000116724	0.8276
3	ENSDARG00000116737	0.5232
3	ENSDARG00000116748	0.7046
3	ENSDARG00000116760	0.8455
3	ENSDARG00000116789	0.8215
3	ENSDARG00000116795	0.8472
3	ENSDARG00000116849	0.8289
3	ENSDARG00000117017	0.8479
3	ENSDARG00000117037	0.7867
3	ENSDARG00000117051	0.7886
3	ENSDARG00000117102	0.8547
3	ENSDARG00000117104	0.8432
3	ENSDARG00000117178	0.8135
3	ENSDARG00000117181	0.8543
3	ENSDARG00000117375	0.8292
3	ENSDARG00000117431	0.7584
3	ENSDARG00000117525	0.5360
3	ENSDARG00000117646	0.2125
4	ENSDARG00000000161	0.8595
4	ENSDARG00000001015	0.6501
4	ENSDARG00000001127	0.8693
4	ENSDARG00000001463	0.8252
4	ENSDARG00000001785	0.8404
4	ENSDARG00000001807	0.4493
4	ENSDARG00000001835	0.8075
4	ENSDARG00000001881	0.5769
4	ENSDARG00000001906	0.8629
4	ENSDARG00000001913	0.8668
4	ENSDARG00000001994	0.8648
4	ENSDARG00000002026	0.7243
4	ENSDARG00000002311	0.8533
4	ENSDARG00000002546	0.8613
4	ENSDARG00000002600	0.5273
4	ENSDARG00000002750	0.7137
4	ENSDARG00000003655	0.8592
4	ENSDARG00000003877	0.1262
4	ENSDARG00000003994	0.8566
4	ENSDARG00000003998	0.8577
4	ENSDARG00000004291	0.8410
4	ENSDARG00000004302	0.8540
4	ENSDARG00000004305	0.6253
4	ENSDARG00000004386	0.8271
4	ENSDARG00000004445	0.8609
4	ENSDARG00000004473	0.7832
4	ENSDARG00000004577	0.8396
4	ENSDARG00000004580	0.8596
4	ENSDARG00000004588	0.7742
4	ENSDARG00000004598	0.7969
4	ENSDARG00000004621	0.8553
4	ENSDARG00000004633	0.8599
4	ENSDARG00000004697	0.7675
4	ENSDARG00000004712	0.8568
4	ENSDARG00000004988	0.8317
4	ENSDARG00000005026	0.7175
4	ENSDARG00000005314	0.8556
4	ENSDARG00000005559	0.8670
4	ENSDARG00000005645	0.3219
4	ENSDARG00000005780	0.7322
4	ENSDARG00000005783	0.8405
4	ENSDARG00000005853	0.8199
4	ENSDARG00000005865	0.7553
4	ENSDARG00000006074	0.1289
4	ENSDARG00000006110	0.8674
4	ENSDARG00000006257	0.8694
4	ENSDARG00000006307	0.8460
4	ENSDARG00000006356	0.6721
4	ENSDARG00000006383	0.8466
4	ENSDARG00000006396	0.8167
4	ENSDARG00000006636	0.4352
4	ENSDARG00000006640	0.6539
4	ENSDARG00000006758	0.8651
4	ENSDARG00000006891	0.8539
4	ENSDARG00000006896	0.8321
4	ENSDARG00000006978	0.8551
4	ENSDARG00000007136	0.8453
4	ENSDARG00000007171	0.8621
4	ENSDARG00000007195	0.8589
4	ENSDARG00000007358	0.1565
4	ENSDARG00000007366	0.7249
4	ENSDARG00000007654	0.8629
4	ENSDARG00000007655	0.7821
4	ENSDARG00000007678	0.8609
4	ENSDARG00000007697	0.8253
4	ENSDARG00000007715	0.8558
4	ENSDARG00000007783	0.8344
4	ENSDARG00000007842	0.8648
4	ENSDARG00000007950	0.8215
4	ENSDARG00000008034	0.8479
4	ENSDARG00000008191	0.1465
4	ENSDARG00000008209	0.8031
4	ENSDARG00000008660	0.8676
4	ENSDARG00000008720	0.7972
4	ENSDARG00000008852	0.8504
4	ENSDARG00000008861	0.8509
4	ENSDARG00000009281	0.4906
4	ENSDARG00000009299	0.6927
4	ENSDARG00000009553	0.8564
4	ENSDARG00000009567	0.2626
4	ENSDARG00000010097	0.8608
4	ENSDARG00000010186	0.7673
4	ENSDARG00000010207	0.8593
4	ENSDARG00000010423	0.8294
4	ENSDARG00000010555	0.8552
4	ENSDARG00000010591	0.6470
4	ENSDARG00000010610	0.7971
4	ENSDARG00000010764	0.7925
4	ENSDARG00000010773	0.7973
4	ENSDARG00000010816	0.8526
4	ENSDARG00000011042	0.7612
4	ENSDARG00000011088	0.1281
4	ENSDARG00000011376	0.0607
4	ENSDARG00000011602	0.8633
4	ENSDARG00000011635	0.0660
4	ENSDARG00000011672	0.4193
4	ENSDARG00000011886	0.7906
4	ENSDARG00000011941	0.8238
4	ENSDARG00000011989	0.1759
4	ENSDARG00000011998	0.8470
4	ENSDARG00000012019	0.8455
4	ENSDARG00000012269	0.4238
4	ENSDARG00000012297	0.4207
4	ENSDARG00000012367	0.8640
4	ENSDARG00000012535	0.7874
4	ENSDARG00000012667	0.8290
4	ENSDARG00000012896	0.8671
4	ENSDARG00000013000	0.8553
4	ENSDARG00000013020	0.8614
4	ENSDARG00000013063	0.8267
4	ENSDARG00000013153	0.7403
4	ENSDARG00000013251	0.7877
4	ENSDARG00000013292	0.8542
4	ENSDARG00000013295	0.8100
4	ENSDARG00000013312	0.0673
4	ENSDARG00000013460	0.8607
4	ENSDARG00000013843	0.8139
4	ENSDARG00000013845	0.6890
4	ENSDARG00000013963	0.7761
4	ENSDARG00000014018	0.8328
4	ENSDARG00000014039	0.8456
4	ENSDARG00000014273	0.1330
4	ENSDARG00000014280	0.8526
4	ENSDARG00000014675	0.6921
4	ENSDARG00000014792	0.8437
4	ENSDARG00000014803	0.8144
4	ENSDARG00000014871	0.8351
4	ENSDARG00000014910	0.8568
4	ENSDARG00000014953	0.8459
4	ENSDARG00000015002	0.8485
4	ENSDARG00000015174	0.8636
4	ENSDARG00000015184	0.7353
4	ENSDARG00000015273	0.8289
4	ENSDARG00000015515	0.8627
4	ENSDARG00000015537	0.8479
4	ENSDARG00000015546	0.7963
4	ENSDARG00000015854	0.8539
4	ENSDARG00000015931	0.8628
4	ENSDARG00000016011	0.5537
4	ENSDARG00000016128	0.6894
4	ENSDARG00000016207	0.4976
4	ENSDARG00000016337	0.8109
4	ENSDARG00000016464	0.6800
4	ENSDARG00000016584	0.8528
4	ENSDARG00000016667	0.8591
4	ENSDARG00000016739	0.8614
4	ENSDARG00000016793	0.7644
4	ENSDARG00000016835	0.2703
4	ENSDARG00000017007	0.8637
4	ENSDARG00000017055	0.6683
4	ENSDARG00000017162	0.8154
4	ENSDARG00000017251	0.8684
4	ENSDARG00000017311	0.8297
4	ENSDARG00000017365	0.8223
4	ENSDARG00000017391	0.8230
4	ENSDARG00000017400	0.8738
4	ENSDARG00000017720	0.8651
4	ENSDARG00000017843	0.2839
4	ENSDARG00000018040	0.7954
4	ENSDARG00000018065	0.4273
4	ENSDARG00000018259	0.8617
4	ENSDARG00000018270	0.8550
4	ENSDARG00000018321	0.1081
4	ENSDARG00000018619	0.7825
4	ENSDARG00000018797	0.8562
4	ENSDARG00000018896	0.8409
4	ENSDARG00000018997	0.7685
4	ENSDARG00000019341	0.8012
4	ENSDARG00000019451	0.6049
4	ENSDARG00000019521	0.7379
4	ENSDARG00000019945	0.8603
4	ENSDARG00000020031	0.8552
4	ENSDARG00000020122	0.8059
4	ENSDARG00000020178	0.7531
4	ENSDARG00000020231	0.8471
4	ENSDARG00000020284	0.8654
4	ENSDARG00000020609	0.8488
4	ENSDARG00000020798	0.7653
4	ENSDARG00000020871	0.7227
4	ENSDARG00000020901	0.7726
4	ENSDARG00000021143	0.8577
4	ENSDARG00000021151	0.7566
4	ENSDARG00000022045	0.8732
4	ENSDARG00000022098	0.8408
4	ENSDARG00000022319	0.8681
4	ENSDARG00000022466	0.8475
4	ENSDARG00000022971	0.8315
4	ENSDARG00000023168	0.8458
4	ENSDARG00000023174	0.8379
4	ENSDARG00000023272	0.8657
4	ENSDARG00000023861	0.8220
4	ENSDARG00000023914	0.8311
4	ENSDARG00000023916	0.7346
4	ENSDARG00000023940	0.8609
4	ENSDARG00000024299	0.8499
4	ENSDARG00000024548	0.7822
4	ENSDARG00000024619	0.8186
4	ENSDARG00000024785	0.8091
4	ENSDARG00000024865	0.8466
4	ENSDARG00000024954	0.8394
4	ENSDARG00000024966	0.7255
4	ENSDARG00000025034	0.7581
4	ENSDARG00000025478	0.5453
4	ENSDARG00000025600	0.8699
4	ENSDARG00000025728	0.2035
4	ENSDARG00000025974	0.0698
4	ENSDARG00000026246	0.8217
4	ENSDARG00000026247	0.3145
4	ENSDARG00000026335	0.0734
4	ENSDARG00000026655	0.8464
4	ENSDARG00000026820	0.8117
4	ENSDARG00000026875	0.7661
4	ENSDARG00000026882	0.1360
4	ENSDARG00000027065	0.8624
4	ENSDARG00000027161	0.8311
4	ENSDARG00000027394	0.8299
4	ENSDARG00000027419	0.8683
4	ENSDARG00000027423	0.8425
4	ENSDARG00000027564	0.8615
4	ENSDARG00000027740	0.8264
4	ENSDARG00000027828	0.8667
4	ENSDARG00000027992	0.0932
4	ENSDARG00000028066	0.8405
4	ENSDARG00000028346	0.8593
4	ENSDARG00000028393	0.6628
4	ENSDARG00000028628	0.8542
4	ENSDARG00000028780	0.8554
4	ENSDARG00000029039	0.5501
4	ENSDARG00000029114	0.8627
4	ENSDARG00000029239	0.8042
4	ENSDARG00000029296	0.7876
4	ENSDARG00000029689	0.8701
4	ENSDARG00000030097	0.8257
4	ENSDARG00000030154	0.8700
4	ENSDARG00000030263	0.8689
4	ENSDARG00000030265	0.8279
4	ENSDARG00000030583	0.3596
4	ENSDARG00000030614	0.7925
4	ENSDARG00000030733	0.8592
4	ENSDARG00000030967	0.8684
4	ENSDARG00000031095	0.4402
4	ENSDARG00000031203	0.8628
4	ENSDARG00000031240	0.8506
4	ENSDARG00000031283	0.8511
4	ENSDARG00000031359	0.8227
4	ENSDARG00000031438	0.8679
4	ENSDARG00000031587	0.8650
4	ENSDARG00000031757	0.5359
4	ENSDARG00000032083	0.8356
4	ENSDARG00000032344	0.1827
4	ENSDARG00000032380	0.8365
4	ENSDARG00000032496	0.7675
4	ENSDARG00000032653	0.7097
4	ENSDARG00000032714	0.0985
4	ENSDARG00000032799	0.7155
4	ENSDARG00000032865	0.8640
4	ENSDARG00000032929	0.7644
4	ENSDARG00000033234	0.8633
4	ENSDARG00000033380	0.8602
4	ENSDARG00000033382	0.8055
4	ENSDARG00000033498	0.8047
4	ENSDARG00000033501	0.8480
4	ENSDARG00000033599	0.8462
4	ENSDARG00000033655	0.7968
4	ENSDARG00000033684	0.8404
4	ENSDARG00000033871	0.8484
4	ENSDARG00000034076	0.8529
4	ENSDARG00000034086	0.8108
4	ENSDARG00000034093	0.7526
4	ENSDARG00000034215	0.8441
4	ENSDARG00000034409	0.8569
4	ENSDARG00000034423	0.7397
4	ENSDARG00000034493	0.8631
4	ENSDARG00000034522	0.8360
4	ENSDARG00000034668	0.7719
4	ENSDARG00000034852	0.4887
4	ENSDARG00000034896	0.8204
4	ENSDARG00000035458	0.8680
4	ENSDARG00000035508	0.8480
4	ENSDARG00000035538	0.6278
4	ENSDARG00000035819	0.1708
4	ENSDARG00000035861	0.3491
4	ENSDARG00000035868	0.8653
4	ENSDARG00000035899	0.8606
4	ENSDARG00000036008	0.8109
4	ENSDARG00000036096	0.6099
4	ENSDARG00000036105	0.8529
4	ENSDARG00000036139	0.8625
4	ENSDARG00000036152	0.7938
4	ENSDARG00000036295	0.8510
4	ENSDARG00000036383	0.8386
4	ENSDARG00000036442	0.8244
4	ENSDARG00000036446	0.8709
4	ENSDARG00000036505	0.8485
4	ENSDARG00000036560	0.8466
4	ENSDARG00000036569	0.8623
4	ENSDARG00000036575	0.7681
4	ENSDARG00000036584	0.8428
4	ENSDARG00000036831	0.8173
4	ENSDARG00000036998	0.8593
4	ENSDARG00000036999	0.8643
4	ENSDARG00000037159	0.5404
4	ENSDARG00000037324	0.8452
4	ENSDARG00000037402	0.7658
4	ENSDARG00000037491	0.0812
4	ENSDARG00000037498	0.8554
4	ENSDARG00000037613	0.8364
4	ENSDARG00000037691	0.8589
4	ENSDARG00000037760	0.7810
4	ENSDARG00000037805	0.8723
4	ENSDARG00000037889	0.8531
4	ENSDARG00000037905	0.8642
4	ENSDARG00000037916	0.8612
4	ENSDARG00000037932	0.8443
4	ENSDARG00000038089	0.8076
4	ENSDARG00000038107	0.7990
4	ENSDARG00000038278	0.8231
4	ENSDARG00000038296	0.8539
4	ENSDARG00000038305	0.1928
4	ENSDARG00000038445	0.6797
4	ENSDARG00000038643	0.8041
4	ENSDARG00000038655	0.8614
4	ENSDARG00000038981	0.8702
4	ENSDARG00000039062	0.8737
4	ENSDARG00000039181	0.8580
4	ENSDARG00000039218	0.8700
4	ENSDARG00000039240	0.8617
4	ENSDARG00000039264	0.3764
4	ENSDARG00000039266	0.4904
4	ENSDARG00000039458	0.8538
4	ENSDARG00000039563	0.8594
4	ENSDARG00000039647	0.8695
4	ENSDARG00000040135	0.8336
4	ENSDARG00000040214	0.8500
4	ENSDARG00000040252	0.7414
4	ENSDARG00000040291	0.8625
4	ENSDARG00000040306	0.2722
4	ENSDARG00000040332	0.5173
4	ENSDARG00000040430	0.8633
4	ENSDARG00000040474	0.8429
4	ENSDARG00000040478	0.7443
4	ENSDARG00000040921	0.7698
4	ENSDARG00000040942	0.8568
4	ENSDARG00000041150	0.8038
4	ENSDARG00000041179	0.8417
4	ENSDARG00000041295	0.8656
4	ENSDARG00000041323	0.8615
4	ENSDARG00000041348	0.8428
4	ENSDARG00000041350	0.4378
4	ENSDARG00000041379	0.8659
4	ENSDARG00000041660	0.8384
4	ENSDARG00000041750	0.8033
4	ENSDARG00000041864	0.7844
4	ENSDARG00000041926	0.8692
4	ENSDARG00000042041	0.8388
4	ENSDARG00000042114	0.8663
4	ENSDARG00000042138	0.8491
4	ENSDARG00000042396	0.8643
4	ENSDARG00000042418	0.8644
4	ENSDARG00000042637	0.8574
4	ENSDARG00000042810	0.8298
4	ENSDARG00000042846	0.7505
4	ENSDARG00000042946	0.0614
4	ENSDARG00000042961	0.7742
4	ENSDARG00000042992	0.8378
4	ENSDARG00000043066	0.7971
4	ENSDARG00000043148	0.8531
4	ENSDARG00000043313	0.8385
4	ENSDARG00000043406	0.8322
4	ENSDARG00000043448	0.8674
4	ENSDARG00000043483	0.2627
4	ENSDARG00000043662	0.6386
4	ENSDARG00000043923	0.6899
4	ENSDARG00000044091	0.4454
4	ENSDARG00000044338	0.8694
4	ENSDARG00000044532	0.8594
4	ENSDARG00000044541	0.7570
4	ENSDARG00000044628	0.7948
4	ENSDARG00000044688	0.4524
4	ENSDARG00000044807	0.4595
4	ENSDARG00000045014	0.8680
4	ENSDARG00000045087	0.7131
4	ENSDARG00000045145	0.5886
4	ENSDARG00000045156	0.8487
4	ENSDARG00000045316	0.8266
4	ENSDARG00000045383	0.8586
4	ENSDARG00000045556	0.8652
4	ENSDARG00000045638	0.7494
4	ENSDARG00000045832	0.8620
4	ENSDARG00000045893	0.7766
4	ENSDARG00000045909	0.7991
4	ENSDARG00000045956	0.8187
4	ENSDARG00000046007	0.8446
4	ENSDARG00000051836	0.8084
4	ENSDARG00000051875	0.8506
4	ENSDARG00000052094	0.8507
4	ENSDARG00000052494	0.8427
4	ENSDARG00000052558	0.8510
4	ENSDARG00000052642	0.8727
4	ENSDARG00000052648	0.1161
4	ENSDARG00000052765	0.7395
4	ENSDARG00000052766	0.6491
4	ENSDARG00000052958	0.3171
4	ENSDARG00000052988	0.8352
4	ENSDARG00000053019	0.8666
4	ENSDARG00000053026	0.3281
4	ENSDARG00000053122	0.6795
4	ENSDARG00000053130	0.8645
4	ENSDARG00000053190	0.8329
4	ENSDARG00000053201	0.7737
4	ENSDARG00000053205	0.7681
4	ENSDARG00000053323	0.8602
4	ENSDARG00000053358	0.2481
4	ENSDARG00000053431	0.8496
4	ENSDARG00000053449	0.8405
4	ENSDARG00000053453	0.7418
4	ENSDARG00000053454	0.8519
4	ENSDARG00000053475	0.4569
4	ENSDARG00000053484	0.2182
4	ENSDARG00000053487	0.8335
4	ENSDARG00000053502	0.8386
4	ENSDARG00000053544	0.8226
4	ENSDARG00000053547	0.8568
4	ENSDARG00000053559	0.8607
4	ENSDARG00000053665	0.8096
4	ENSDARG00000053854	0.8227
4	ENSDARG00000053862	0.8133
4	ENSDARG00000053959	0.8331
4	ENSDARG00000054060	0.1699
4	ENSDARG00000054162	0.8465
4	ENSDARG00000054224	0.6388
4	ENSDARG00000054332	0.8262
4	ENSDARG00000054456	0.8419
4	ENSDARG00000054510	0.0836
4	ENSDARG00000054649	0.8678
4	ENSDARG00000054741	0.7939
4	ENSDARG00000054744	0.8649
4	ENSDARG00000054890	0.8626
4	ENSDARG00000054911	0.8141
4	ENSDARG00000054931	0.8611
4	ENSDARG00000055011	0.8388
4	ENSDARG00000055317	0.8423
4	ENSDARG00000055349	0.8555
4	ENSDARG00000055400	0.8671
4	ENSDARG00000055455	0.8373
4	ENSDARG00000055552	0.3538
4	ENSDARG00000055644	0.6658
4	ENSDARG00000055683	0.8621
4	ENSDARG00000055739	0.8444
4	ENSDARG00000055740	0.8547
4	ENSDARG00000055825	0.7290
4	ENSDARG00000055874	0.8608
4	ENSDARG00000055875	0.8541
4	ENSDARG00000055999	0.6653
4	ENSDARG00000056019	0.7870
4	ENSDARG00000056065	0.8340
4	ENSDARG00000056080	0.8556
4	ENSDARG00000056092	0.8539
4	ENSDARG00000056105	0.8602
4	ENSDARG00000056210	0.7107
4	ENSDARG00000056270	0.1211
4	ENSDARG00000056347	0.5513
4	ENSDARG00000056450	0.8514
4	ENSDARG00000056478	0.8525
4	ENSDARG00000056511	0.3770
4	ENSDARG00000056566	0.7754
4	ENSDARG00000056639	0.8619
4	ENSDARG00000056651	0.8431
4	ENSDARG00000056659	0.8496
4	ENSDARG00000056690	0.8608
4	ENSDARG00000056742	0.6414
4	ENSDARG00000056745	0.8599
4	ENSDARG00000056753	0.8312
4	ENSDARG00000056764	0.8603
4	ENSDARG00000056768	0.8726
4	ENSDARG00000056806	0.8638
4	ENSDARG00000056831	0.8268
4	ENSDARG00000056838	0.7846
4	ENSDARG00000056877	0.8605
4	ENSDARG00000056888	0.8579
4	ENSDARG00000056934	0.4877
4	ENSDARG00000056979	0.7256
4	ENSDARG00000057017	0.4737
4	ENSDARG00000057029	0.8656
4	ENSDARG00000057331	0.6267
4	ENSDARG00000057460	0.8541
4	ENSDARG00000057498	0.5893
4	ENSDARG00000057519	0.8622
4	ENSDARG00000057610	0.8702
4	ENSDARG00000057649	0.7231
4	ENSDARG00000057789	0.8567
4	ENSDARG00000057887	0.4141
4	ENSDARG00000057913	0.8042
4	ENSDARG00000058154	0.8559
4	ENSDARG00000058284	0.8167
4	ENSDARG00000058318	0.8667
4	ENSDARG00000058421	0.7710
4	ENSDARG00000058488	0.7946
4	ENSDARG00000058649	0.8495
4	ENSDARG00000058701	0.8308
4	ENSDARG00000058732	0.6446
4	ENSDARG00000058848	0.5813
4	ENSDARG00000058892	0.8620
4	ENSDARG00000058945	0.8184
4	ENSDARG00000058964	0.8192
4	ENSDARG00000058969	0.7723
4	ENSDARG00000059255	0.8442
4	ENSDARG00000059294	0.2011
4	ENSDARG00000059423	0.7797
4	ENSDARG00000059534	0.8316
4	ENSDARG00000059582	0.8566
4	ENSDARG00000059601	0.7958
4	ENSDARG00000059690	0.8429
4	ENSDARG00000059707	0.8258
4	ENSDARG00000059789	0.2933
4	ENSDARG00000059818	0.8596
4	ENSDARG00000059832	0.8255
4	ENSDARG00000059854	0.8034
4	ENSDARG00000059886	0.8479
4	ENSDARG00000059900	0.7813
4	ENSDARG00000059945	0.8547
4	ENSDARG00000060222	0.7486
4	ENSDARG00000060243	0.8649
4	ENSDARG00000060330	0.8540
4	ENSDARG00000060354	0.1319
4	ENSDARG00000060368	0.8582
4	ENSDARG00000060400	0.6504
4	ENSDARG00000060481	0.8394
4	ENSDARG00000060512	0.8604
4	ENSDARG00000060515	0.3054
4	ENSDARG00000060549	0.8181
4	ENSDARG00000060637	0.8397
4	ENSDARG00000060639	0.8034
4	ENSDARG00000060678	0.8606
4	ENSDARG00000060680	0.8551
4	ENSDARG00000060837	0.7312
4	ENSDARG00000060865	0.8445
4	ENSDARG00000060915	0.8359
